lat,lon,localizacao,classe,confianca,justificativa,n_imagens,data_inicio,data_fim,plataformas,thumbnail_url,fonte_imagem,stac_browser_url,stac_id_repr,thumbnail_carregada,tags_osm
19.4,-155.3,"Hawaii, United States",Vulcão / Atividade Geológica,Alta,"A imagem mostra claramente uma cratera vulcânica com emissão ativa de fumos/gases vulcânicos visíveis. As coordenadas (19.4, -155.3) correspondem ao Havaí, região conhecida por atividade vulcânica intensa, e o monitoramento SAR extremamente frequente (1.2 dias) com alta resolução é consistente com vigilância de vulcão ativo para segurança pública.",442,2024-06-04,2025-11-12,"capella-14, capella-9, capella-10, capella-13","Esri Satellite tile (19.40,-155.30)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-01/capella-open-data-2025-01-04/CAPELLA_C13_SP_GEO_HH_20250104043955_20250104044006/CAPELLA_C13_SP_GEO_HH_20250104043955_20250104044006.json,CAPELLA_C13_SP_GEO_HH_20250104043955_20250104044006,True,"Base Militar: landuse=military; Agricultura / Desmatamento: landuse=orchard,landuse=farmland"
34.8,-118.1,"California, United States",Área de Mineração,Alta,"A imagem revela uma extensa operação de mineração a céu aberto com crateras visíveis, pilhas de material extraído e padrões típicos de mineração. A localização no condado de Los Angeles, combinada com o monitoramento SAR de alta resolução (0.285m) usando múltiplas plataformas ao longo de 1700 dias, indica monitoramento sistemático de atividade industrial de grande escala típica de operações de mineração.",238,2021-03-13,2025-11-08,"capella-3, capella-5, capella-7, capella-14, capella-13","Esri Satellite tile (34.80,-118.10)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-11/capella-open-data-2024-11-06/CAPELLA_C13_SP_GEO_HH_20241106140935_20241106140944/CAPELLA_C13_SP_GEO_HH_20241106140935_20241106140944.json,CAPELLA_C13_SP_GEO_HH_20241106140935_20241106140944,True,
-23.2,118.8,"Newman, Western Australia, Australia",Área de Mineração,Alta,"A imagem mostra claramente uma operação de mineração a céu aberto com múltiplas cavas, pilhas de rejeito organizadas e estradas de acesso radiais típicas de minas. O endereço confirma tratar-se da West Angelas Mine na região de Pilbara, conhecida por mineração de ferro, com monitoramento SAR de alta resolução (0.33m) consistente com acompanhamento de atividades industriais de grande escala.",200,2021-07-01,2024-09-17,"capella-3, capella-9, capella-10, capella-14","Esri Satellite tile (-23.20,118.80)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2021/capella-open-data-2021-07/capella-open-data-2021-07-01/CAPELLA_C03_SP_GEO_HH_20210701014212_20210701014237/CAPELLA_C03_SP_GEO_HH_20210701014212_20210701014237.json,CAPELLA_C03_SP_GEO_HH_20210701014212_20210701014237,True,
37.3,-121.9,"San Jose, California, United States",Zona Urbana,Alta,"A imagem revela claramente uma área urbana densamente povoada com malha viária organizada em grade e alta densidade de construções residenciais. As coordenadas confirmam localização em Willow Glen, San Jose, California, uma área metropolitana consolidada. O monitoramento SAR intensivo (1.7 dias) com alta resolução (0.27m) sugere acompanhamento de desenvolvimento urbano ou mudanças na infraestrutura metropolitana.",176,2025-01-10,2025-11-11,capella-13,"Esri Satellite tile (37.30,-121.90)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-01/capella-open-data-2025-01-10/CAPELLA_C13_SP_GEO_HH_20250110214529_20250110214532/CAPELLA_C13_SP_GEO_HH_20250110214529_20250110214532.json,CAPELLA_C13_SP_GEO_HH_20250110214529_20250110214532,True,
-21.8,122.2,"Western Australia, Australia",Área de Mineração,Alta,"As tags OSM confirmam explicitamente landuse=quarry indicando área de mineração. A localização em Telfer, Western Australia, na região de Pilbara conhecida por mineração, junto com o monitoramento SAR intensivo (124 imagens em 305 dias) sugere operação de grande escala. A imagem mostra terreno com padrões de escavação e movimentação de terra característicos de mineração a céu aberto.",124,2024-07-18,2025-05-19,"capella-14, capella-13","Esri Satellite tile (-21.80,122.20)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-11/capella-open-data-2024-11-23/CAPELLA_C13_SP_GEO_HH_20241123120750_20241123120759/CAPELLA_C13_SP_GEO_HH_20241123120750_20241123120759.json,CAPELLA_C13_SP_GEO_HH_20241123120750_20241123120759,True,Área de Mineração: landuse=quarry
39.5,-121.5,"California, United States",Agricultura / Desmatamento,Alta,"As tags OSM confirmam claramente atividade agrícola com landuse=orchard, landuse=farmland e landuse=farmyard. A imagem de satélite mostra um padrão típico de área rural com campos cultivados, pomares e propriedades agrícolas distribuídos pela paisagem. O monitoramento SAR intensivo (1.2 dias) e alta resolução (0.35m) é consistente com acompanhamento de safras ou mudanças no uso da terra agrícola.",72,2024-07-06,2024-10-01,"capella-14, capella-10, capella-9","Esri Satellite tile (39.50,-121.50)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-07/capella-open-data-2024-07-06/CAPELLA_C14_SP_GEO_HH_20240706182021_20240706182055/CAPELLA_C14_SP_GEO_HH_20240706182021_20240706182055.json,CAPELLA_C14_SP_GEO_HH_20240706182021_20240706182055,True,"Área Portuária: harbour=yes; Área de Mineração: landuse=quarry; Agricultura / Desmatamento: landuse=orchard,landuse=farmland,landuse=farmyard"
-12.7,132.9,Australia,Área de Mineração,Alta,"As tags OSM confirmam explicitamente 'landuse=quarry' indicando área de mineração. A imagem satelital mostra características típicas de mineração a céu aberto com múltiplas cavas, pilhas de rejeito, lagos de mineração e estradas de acesso radiais. O monitoramento SAR de alta resolução (0.329m) com frequência regular é consistente com acompanhamento de operações de mineração ativa.",40,2024-02-09,2024-10-13,"capella-9, capella-10","Esri Satellite tile (-12.70,132.90)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-02/capella-open-data-2024-02-09/CAPELLA_C09_SP_GEO_HH_20240209051832_20240209051906/CAPELLA_C09_SP_GEO_HH_20240209051832_20240209051906.json,CAPELLA_C09_SP_GEO_HH_20240209051832_20240209051906,True,Área de Mineração: landuse=quarry
-30.4,136.8,"South Australia, Australia",Área de Mineração,Alta,"A imagem revela uma estrutura de mineração típica com uma grande cava aberta de formato retangular, pilhas de material e estradas de acesso organizadas radialmente. A localização em South Australia, região conhecida pela mineração, combinada com o monitoramento SAR de alta resolução (0.343m) e frequência regular, confirma atividade de extração mineral ativa.",38,2024-02-23,2024-09-13,"capella-10, capella-9","Esri Satellite tile (-30.40,136.80)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-02/capella-open-data-2024-02-23/CAPELLA_C10_SP_GEO_HH_20240223154927_20240223154956/CAPELLA_C10_SP_GEO_HH_20240223154927_20240223154956.json,CAPELLA_C10_SP_GEO_HH_20240223154927_20240223154956,True,
-43.0,147.3,"Tasmania, Australia",Agricultura / Desmatamento,Alta,"As tags OSM confirmam múltiplas atividades agrícolas (vineyard, farmland, orchard) na região. A imagem satelital mostra claramente áreas rurais com campos cultivados, pastagens e padrões de uso agrícola da terra. O monitoramento SAR intensivo (30 imagens em 13 dias) sugere acompanhamento de mudanças sazonais ou práticas agrícolas.",30,2025-03-06,2025-03-19,capella-13,"Esri Satellite tile (-43.00,147.30)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-03/capella-open-data-2025-03-06/CAPELLA_C13_SP_GEO_HH_20250306144636_20250306144707/CAPELLA_C13_SP_GEO_HH_20250306144636_20250306144707.json,CAPELLA_C13_SP_GEO_HH_20250306144636_20250306144707,True,"Área de Mineração: landuse=quarry; Agricultura / Desmatamento: landuse=vineyard,landuse=farmland,landuse=orchard"
38.4,-0.4,"el Campello, Comunitat Valenciana, España",Zona Urbana,Alta,"A imagem revela uma área urbana costeira desenvolvida com malha urbana densa, bairros residenciais organizados e infraestrutura urbana típica. Embora as tags OSM indiquem presença de agricultura, bunker militar e mineração na região, a imagem mostra predominantemente desenvolvimento urbano consolidado ao longo da costa mediterrânea espanhola.",20,2025-05-08,2025-06-07,capella-13,"Esri Satellite tile (38.40,-0.40)",Satélite Esri (fallback),https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-05/capella-open-data-2025-05-08/CAPELLA_C13_SP_GEO_HH_20250508193043_20250508193052/CAPELLA_C13_SP_GEO_HH_20250508193043_20250508193052.json,CAPELLA_C13_SP_GEO_HH_20250508193043_20250508193052,True,"Área de Mineração: landuse=quarry; Base Militar: military=bunker; Agricultura / Desmatamento: landuse=orchard,landuse=farmland,landuse=farmyard"
