lat,lon,localizacao,classe,confianca,justificativa,n_imagens,data_inicio,data_fim,plataformas
19.42,-155.29,"Hawaiʻi County, Hawaii, United States",Vulcão / Atividade Geológica,Alta,"A localização em Crater Rim Drive no Condado de Hawaiʻi, combinada com o monitoramento SAR intensivo (376 imagens em 308 dias) e alta resolução, indica claramente monitoramento de atividade vulcânica no Parque Nacional dos Vulcões do Havaí.",376,2025-01-08,2025-11-12,capella-13
34.83,-118.07,"Rosamond, Kern County, California, United States",Base Militar,Alta,"A localização em Rosamond, California, próxima à Edwards Air Force Base e outras instalações militares do deserto de Mojave, combinada com o monitoramento SAR de alta resolução e frequência elevada, indica forte probabilidade de ser uma instalação militar ou área de teste.",214,2024-06-28,2025-11-08,"capella-14, capella-13"
-23.18,118.77,"Newman, Western Australia, Australia",Área de Mineração,Alta,"O contexto geográfico identifica explicitamente 'West Angelas Mine' em Newman, região conhecida por sua intensa atividade minerária no Pilbara. A alta resolução SAR (0.33m) e frequência de monitoramento são típicas para acompanhar operações de mineração em larga escala.",200,2021-07-01,2024-09-17,"capella-3, capella-9, capella-10, capella-14"
37.32,-121.87,"San Jose, Santa Clara County, California, United States",Zona Urbana,Alta,"Localização em San Jose, Califórnia, em área residencial/comercial próxima a um estabelecimento alimentício na South 7th Street. A alta frequência de monitoramento SAR e resolução de 0.27m indicam área urbana densa com infraestrutura significativa.",176,2025-01-10,2025-11-11,capella-13
-21.75,122.24,"Western Australia, Australia",Área de Mineração,Alta,"Telfer é conhecida como uma das maiores minas de ouro da Austrália, operada pela Newmont Corporation. A localização remota no interior da Austrália Ocidental, o monitoramento SAR de alta resolução (0.275m) e frequência elevada são típicos para acompanhamento de operações de mineração em grande escala.",124,2024-07-18,2025-05-19,"capella-14, capella-13"
39.53,-121.52,"Oroville, Butte County, California, United States",Área de Mineração,Alta,"A localização em Oroville, Butte County, California, é historicamente conhecida por atividades de mineração de ouro, e o monitoramento SAR de alta frequência (67 imagens em 86 dias) sugere monitoramento de mudanças dinâmicas típicas de operações de mineração ativa.",67,2024-07-06,2024-10-01,"capella-14, capella-10, capella-9"
-12.68,132.91,Australia,Outro / Indeterminado,Média,"Localizado no Parque Nacional Kakadu, uma área protegida de patrimônio natural e cultural no Território do Norte da Austrália. O monitoramento SAR de alta resolução sugere interesse em mudanças ambientais ou conservação, mas não se enquadra nas categorias industriais ou urbanas específicas.",40,2024-02-09,2024-10-13,"capella-9, capella-10"
-30.43,136.83,"Pastoral Unincorporated Area, South Australia, Australia",Área de Mineração,Alta,"Olympic Dam é uma das maiores operações de mineração de cobre e urânio do mundo, localizada em área remota do interior da Austrália do Sul. O monitoramento SAR de alta resolução (0.343m) sugere interesse em atividades industriais de grande escala típicas de complexos de mineração.",38,2024-02-23,2024-09-13,"capella-10, capella-9"
-42.99,147.29,"Hobart, Tasmania, Australia",Zona Urbana,Alta,"A localização em Patriarch Drive, Huntingfield, indica área residencial suburbana de Hobart. O monitoramento intensivo com alta resolução (0.27m) e frequência elevada sugere interesse em desenvolvimento urbano ou infraestrutura civil.",30,2025-03-06,2025-03-19,capella-13
19.4,-155.29,"Hawaiʻi County, Hawaii, United States",Vulcão / Atividade Geológica,Alta,"A localização em Crater Rim Drive no Hawaiʻi County, combinada com coordenadas próximas ao Kilauea, indica monitoramento de atividade vulcânica. A alta frequência de imageamento SAR (22 imagens/mês) é típica para vigilância contínua de vulcões ativos.",30,2024-06-04,2024-07-15,"capella-14, capella-9, capella-10"
41.33,2.18,España,Zona Urbana,Alta,"As coordenadas apontam para Barcelona, Espanha, especificamente para a região do Dic de l'Est (Dique do Leste), que é uma área urbana consolidada. A alta resolução SAR (0.449m) e o monitoramento frequente são típicos para análise de infraestrutura urbana.",16,2021-07-24,2022-06-01,"capella-3, capella-2, capella-5, capella-7, capella-8"
42.23,-83.51,"Van Buren Charter Township, Wayne County, Michigan, United States",Zona Urbana,Alta,"A localização em Van Buren Charter Township, Michigan, com endereço específico na Tyler Road Extension, indica claramente uma área urbana/suburbana desenvolvida. A alta resolução SAR (0.369m) e frequência de monitoramento sugerem interesse em infraestrutura urbana.",16,2022-03-24,2023-08-20,capella-6
19.41,-155.28,"Hawaiʻi County, Hawaii, United States",Vulcão / Atividade Geológica,Alta,"A localização no Hawaiʻi County corresponde à região dos vulcões ativos do Havaí, incluindo Kilauea e Mauna Loa. O monitoramento SAR de alta frequência e resolução é consistente com o acompanhamento de atividade vulcânica e deformação do terreno.",14,2025-08-14,2025-08-25,"capella-13, capella-14"
34.8,-118.08,"Los Angeles County, California, United States",Zona Urbana,Alta,"A localização no Condado de Los Angeles, Califórnia, combined com a alta resolução SAR (0.357m) e monitoramento frequente, indica área urbana densamente povoada típica da região metropolitana de Los Angeles.",12,2022-05-31,2023-06-16,"capella-5, capella-7"
-20.42,118.58,"Western Australia, Australia",Área de Mineração,Alta,"A localização em Quartz Quarry Road indica claramente uma pedreira de quartzo, confirmada pela região de Port Hedland que é conhecida por suas atividades de mineração em Western Australia. O monitoramento SAR com alta resolução sugere acompanhamento de operações industriais de extração mineral.",10,2021-07-08,2021-09-17,capella-3
19.39,-155.28,"Hawaiʻi County, Hawaii, United States",Vulcão / Atividade Geológica,Alta,"A localização no Crater Rim Trail em Hawaiʻi County indica proximidade com atividade vulcânica, possivelmente relacionada ao Parque Nacional dos Vulcões do Havaí. O monitoramento SAR frequente e de alta resolução sugere interesse em detectar mudanças geológicas e deformações do terreno típicas de áreas vulcânicas ativas.",10,2025-01-19,2025-03-07,capella-13
