lat,lon,localizacao,classe,confianca,justificativa,n_imagens,data_inicio,data_fim,plataformas
19.42,-155.29,"Hawaii, United States",Vulcão / Atividade Geológica,Alta,"As coordenadas (19.42, -155.29) localizam-se no Hawaiʻi County, uma região mundialmente conhecida por intensa atividade vulcânica. O monitoramento SAR extremamente intensivo (1 imagem a cada 0.8 dias) com alta resolução (0.273m) é consistente com vigilância de atividade geológica dinâmica. A ausência de artigos Wikipedia no raio de 100km sugere área remota, típica de zonas vulcânicas ativas monitoradas por segurança.",376,2025-01-08,2025-11-12,capella-13
34.83,-118.07,"California, United States",Base Militar,Alta,"O monitoramento extremamente intensivo (1 imagem a cada 2.3 dias) com altíssima resolução (0.275m) em Kern County, Califórnia, sugere instalação militar estratégica. A localização no Pacífico Norte (região conhecida por bases militares americanas) combinada com múltiplas plataformas SAR e alta variação de ângulos indica monitoramento de segurança nacional de infraestrutura sensível.",214,2024-06-28,2025-11-08,"capella-14, capella-13"
-23.18,118.77,"Newman, Western Australia, Australia",Área de Mineração,Alta,"O endereço identifica explicitamente 'West Angelas Mine' em Newman, região de East Pilbara, Western Australia - uma das principais regiões de mineração de ferro do mundo. A localização na costa oeste australiana (Pilbara) e o tipo OSM 'landuse/industrial' confirmam a atividade de mineração. O monitoramento SAR com alta resolução (0.33m) e múltiplas plataformas é consistente com acompanhamento de operações de grande escala em mineração.",200,2021-07-01,2024-09-17,"capella-3, capella-9, capella-10, capella-14"
37.32,-121.87,"San Jose, California, United States",Zona Urbana,Alta,"O endereço 'Spartan Keyes' em San Jose, California, indica um bairro universitário próximo à San Jose State University (Spartans). O monitoramento intensivo (1.7 dias) com alta resolução (0.27m) em área urbana consolidada da região do Vale do Silício sugere monitoramento de desenvolvimento urbano ou infraestrutura universitária, sem evidências de atividades portuárias, militares, industriais ou outras categorias específicas.",176,2025-01-10,2025-11-11,capella-13
-21.75,122.24,"Western Australia, Australia",Área de Mineração,Alta,"O endereço indica Telfer na região de Pilbara, Western Australia, uma das principais regiões de mineração do mundo. O monitoramento SAR extremamente intensivo (1 imagem a cada 2,5 dias) com alta resolução (0,275m) sugere operações industriais de grande escala típicas de complexos de mineração que requerem supervisão contínua.",124,2024-07-18,2025-05-19,"capella-14, capella-13"
39.53,-121.52,"California, United States",Base Militar,Alta,"O monitoramento extremamente intensivo (67 imagens em 86 dias, frequência de 1.3 dias) com alta resolução (0.348m) e múltiplas plataformas SAR sugere vigilância de instalação militar. A localização no Pacífico Norte (Califórnia) é região conhecida por bases militares americanas, e o padrão de monitoramento é consistente com interesse em infraestrutura de segurança nacional.",67,2024-07-06,2024-10-01,"capella-14, capella-10, capella-9"
-12.68,132.91,Australia,Agricultura / Desmatamento,Alta,"O local está em Kakadu, região tropical no interior do Northern Territory australiano, com coordenadas que indicam área continental afastada da costa. A zona climática tropical combinada com o tipo OSM 'boundary/administrative' e a ausência de contexto urbano ou industrial sugere monitoramento de mudanças no uso do solo, possivelmente relacionadas a atividades agrícolas ou desmatamento em área de fronteira administrativa.",40,2024-02-09,2024-10-13,"capella-9, capella-10"
-30.43,136.83,"South Australia, Australia",Área de Mineração,Alta,"O endereço 'Olympic Dam' é uma clara referência à famosa mina de cobre, urânio e ouro da BHP Billiton no interior do South Australia. A alta resolução SAR (0.343m) e o monitoramento regular (5.6 imagens/mês) são consistentes com o acompanhamento de operações de mineração de grande escala. A localização no interior árido australiano, longe da costa, confirma tratar-se de uma operação de mineração terrestre.",38,2024-02-23,2024-09-13,"capella-10, capella-9"
-42.99,147.29,"Tasmania, Australia",Zona Urbana,Média,"Localização em Huntingfield, subúrbio de Hobart na Tasmânia, com monitoramento SAR intensivo (30 imagens em 13 dias) e alta resolução (0.27m). Embora seja região costeira, não há evidências diretas de atividade portuária organizada no OSM type (boundary/administrative), sugerindo área residencial ou desenvolvimento urbano sob monitoramento detalhado.",30,2025-03-06,2025-03-19,capella-13
19.4,-155.29,"Hawaii, United States",Vulcão / Atividade Geológica,Alta,"As coordenadas (19.4000, -155.2900) localizam-se no Havaí, região notoriamente vulcânica ativa no Pacífico. O monitoramento SAR extremamente intensivo (1 imagem a cada 1.4 dias) com alta resolução (0.346m) e múltiplas plataformas sugere acompanhamento de atividade geológica dinâmica, típico do monitoramento de vulcões ativos ou fluxos de lava na Big Island do Havaí.",30,2024-06-04,2024-07-15,"capella-14, capella-9, capella-10"
41.33,2.18,España,Zona Urbana,Média,"As coordenadas apontam para a região metropolitana de Barcelona, Espanha, uma grande área urbana mediterrânea. O monitoramento moderado (20.8 dias entre imagens) com múltiplas plataformas sugere interesse em desenvolvimento urbano ou infraestrutura civil. Não há evidências específicas de porto, mineração, agricultura ou instalações militares nos dados disponíveis.",16,2021-07-24,2022-06-01,"capella-3, capella-2, capella-5, capella-7, capella-8"
42.23,-83.51,"Michigan, United States",Zona Urbana,Média,"As coordenadas estão localizadas em Van Buren Charter Township, Michigan, uma região urbana/suburbana no condado de Wayne. O tipo OSM é 'boundary/administrative', indicando área administrativa municipal. A alta resolução SAR (0.369m) com monitoramento esporádico sugere interesse em desenvolvimento urbano ou infraestrutura municipal, sem evidências específicas de porto, mineração, agricultura ou outras atividades especializadas.",16,2022-03-24,2023-08-20,capella-6
19.41,-155.28,"Hawaii, United States",Vulcão / Atividade Geológica,Alta,"As coordenadas (19.4100, -155.2800) localizam-se no Havaí County na Big Island do Havaí, região mundialmente conhecida por intensa atividade vulcânica incluindo o Kilauea e Mauna Loa. O monitoramento SAR extremamente intensivo (1 imagem a cada 0.8 dias) com alta resolução (0.295m) sugere acompanhamento de atividade geológica dinâmica, típico do monitoramento de vulcões ativos que requer observação contínua para detectar mudanças rápidas no terreno.",14,2025-08-14,2025-08-25,"capella-13, capella-14"
34.8,-118.08,"California, United States",Base Militar,Alta,"Localizado no condado de Los Angeles, região do Pacífico Norte conhecida por bases militares americanas. O monitoramento SAR utiliza alta resolução (0.357m) com múltiplas plataformas e alta variação de ângulos, padrão típico de monitoramento de instalações militares sensíveis. A combinação de coordenadas em área estratégica dos EUA com padrão de coleta sofisticado indica fortemente uma base militar.",12,2022-05-31,2023-06-16,"capella-5, capella-7"
-20.42,118.58,"Western Australia, Australia",Área de Mineração,Alta,"As coordenadas estão localizadas em South Hedland, na região de Pilbara, Western Australia, que é mundialmente conhecida por suas operações de mineração de ferro. A alta resolução SAR (0.394m) e o monitoramento regular (a cada 7.8 dias) são consistentes com o acompanhamento de atividades industriais de mineração. A região de Pilbara é o coração da indústria de mineração australiana, com South Hedland servindo como centro logístico para as operações mineradoras.",10,2021-07-08,2021-09-17,capella-3
19.39,-155.28,"Hawaii, United States",Vulcão / Atividade Geológica,Alta,"As coordenadas (19.39, -155.28) localizam-se no condado de Hawaii, na Ilha Grande do Havaí, região mundialmente conhecida por intensa atividade vulcânica. A alta resolução SAR (0.27m) e frequência de monitoramento (a cada 5.2 dias) são consistentes com monitoramento de atividade geológica, especialmente considerando que esta área abriga vulcões ativos como Kilauea e Mauna Loa.",10,2025-01-19,2025-03-07,capella-13
38.38,-0.41,"Alacant / Alicante, Comunitat Valenciana, España",Zona Urbana,Alta,"O endereço indica Alicante, uma cidade costeira mediterrânea na Espanha, com tipo OSM 'boundary/administrative' indicando área administrativa urbana. A alta resolução SAR (0.25m) e frequência moderada de monitoramento são consistentes com monitoramento urbano. Não há evidências específicas de porto, mineração, agricultura ou outras atividades especializadas nos dados disponíveis.",10,2025-05-08,2025-06-07,capella-13
43.14,-77.5,"Town of Penfield, New York, United States",Zona Urbana,Média,"O local está em Panorama, uma pequena comunidade (hamlet) no condado de Monroe, Nova York, área suburbana/residencial sem indicadores específicos de atividade industrial, portuária, militar ou agrícola no endereço. O monitoramento intensivo (2.6 dias) com alta resolução (0.295m) sugere interesse em desenvolvimento urbano ou mudanças na ocupação do solo em área residencial. A ausência de sinais específicos das outras categorias e a localização em região temperada urbanizada apontam para zona urbana.",10,2025-08-20,2025-09-12,capella-13
-33.86,151.22,"Sydney, New South Wales, Australia",Zona Urbana,Alta,"O local está em Centennial Park, um subúrbio urbano consolidado de Sydney, classificado como 'place/suburb' no OSM. O monitoramento SAR intensivo (8 imagens em 8 dias) com alta resolução (0.27m) sugere interesse em mudanças urbanas ou desenvolvimento imobiliário em área densamente povoada. Não há evidências de atividade portuária, militar, industrial ou agrícola específicas no endereço.",8,2024-11-13,2024-11-22,capella-13
-27.48,153.02,"Brisbane, Queensland, Australia",Zona Urbana,Alta,"O endereço indica claramente South Brisbane, um subúrbio urbano consolidado da cidade de Brisbane, Queensland. O monitoramento intensivo com alta resolução (0.275m) e frequência diária em área metropolitana sugere acompanhamento de desenvolvimento urbano ou infraestrutura crítica. Não há evidências de porto, mineração, agricultura ou outras atividades específicas nos dados disponíveis.",8,2025-07-30,2025-08-08,capella-13
